Sector,Score
Telecom Services,1.8701497982496775
Entertainment,1.8213614524637762
Internet Content & Information,1.61081919319544
Advertising Agencies,1.5159280286772945
Broadcasting,1.4011130063868587
Electronic Gaming & Multimedia,1.1139290194533715
Publishing,0.6666995015735816
