Name,P/E_y,Fwd P/E_y,PEG_y,P/S,P/B,P/C,P/FCF,EPS past 5Y,EPS next 5Y,Sales past 5Y
Utilities - Diversified,0.1270065095809165,0.06481573418800415,0.06457005243360381,0.09962898684630148,0.12416111484132458,0.17953743964019944,0.07803963425288395,0.13879310344827586,0.09660872043317184,0.08980542158656246
Utilities - Independent Power Producers,0.3755693144174305,0.0762792074665609,0.6362049283899199,0.4192719863115188,0.3154363458130949,0.26147791738959775,0.6066477228714752,0.0,0.32487888287261324,0.27690004989190087
Utilities - Regulated Electric,0.12222293812399665,0.6919613820180882,0.06110442815044429,0.12197003238153273,0.2202102791525379,0.08761152502376746,0.0996971451540719,0.08362068965517241,0.0951838130521516,0.05188757691668053
Utilities - Regulated Gas,0.17642810188576913,0.0756832761582284,0.0643778796585038,0.10373739867501496,0.12549618059230655,0.1636070395905336,0.0870943457666497,0.33146551724137935,0.06939298945568538,0.30267753201396974
Utilities - Regulated Water,0.14340258331032973,0.0458285922588399,0.08687135568376415,0.04791679843560214,0.10193139559025774,0.06635644356505406,0.0869896178595201,0.44612068965517243,0.1152750071245369,0.1280558789289872
Utilities - Renewable,0.055370552681557536,0.04543180791027853,0.08687135568376415,0.2074747973500299,0.11276468401047837,0.24140963479084757,0.04153153409539916,0.0,0.29866058706184095,0.15067354066189922
