Name,P/E_y,Fwd P/E_y,PEG_y,P/S,P/B,P/C,P/FCF,EPS past 5Y,EPS next 5Y,Sales past 5Y
Agricultural Inputs,0.048443246339427884,0.07824510611031031,0.06639933760417638,0.03657383727010139,0.05625214988486047,0.02850206083401431,0.03451658945033556,0.07782916421800341,0.11270091396155059,0.04714191852825231
Aluminum,0.05111407170795148,0.06898482753699453,0.0,0.1759498117318391,0.08578452857441222,0.12615307539968715,0.17803656838483084,0.1325088790658456,0.0,0.05234340779675867
Building Materials,0.03193111843038299,0.16719743726729464,0.03611192045139417,0.04786869877998563,0.058159002423330323,0.050871325296623075,0.04367923660079265,0.02672662697702941,0.09284588717302239,0.02496714848883049
Chemicals,0.05492543762693049,0.0648316593485428,0.04843245801716395,0.05292799214697599,0.04765807143022901,0.04843460006133899,0.06698140270309663,0.03316554666939213,0.0727387330601954,0.013578624616732373
Coking Coal,0.10951528194860477,0.1176574558547629,0.05020437721291384,0.06852782141134786,0.04949107417754551,0.08558040661879819,0.14617123841119115,0.10315047142090603,0.037693034982666254,0.14657249233464742
Copper,0.04870652485214217,0.050464675267332774,0.0,0.02573179064852983,0.03599350849276038,0.07598352865114105,0.07550320966277814,0.06993382221427293,0.0,0.06416995181778364
Gold,0.02597681325447582,0.03386728473431341,0.0007758686263586383,0.02053672881412633,0.06164157741873933,0.06200542668229907,0.0338343915592609,0.07279556429976747,0.0024582414119130166,0.07446342531756463
Lumber & Wood Production,0.16596297357026218,0.07951818042749934,0.3166737639583796,0.10333560371552454,0.08798413187119204,0.10532973122313621,0.17697472006444415,0.081585200705215,0.1517176173967854,0.10227770477441965
Other Industrial Metals & Mining,0.09723689590735073,0.03691750503287156,0.0,0.03481359911271682,0.04787973687874171,0.07254498044507396,0.016363655182429306,0.14881058844571632,0.0,0.08804204993429698
Other Precious Metals & Mining,0.027253929770281272,0.039291914756692616,0.0384743825369994,0.015139867521111737,0.11068971428956416,0.06319783873388173,0.0,0.0526867158954442,0.1161676646706587,0.10364651773981605
Paper & Paper Products,0.09303114781447222,0.035514268396630494,0.03430632442882446,0.19147479511994253,0.10192221216761849,0.035147461114030484,0.033503306056611,0.040524312032092384,0.03044437440907659,0.033946561541830934
Silver,0.0197763896420614,0.047202842616323896,0.0384743825369994,0.023085613596021442,0.07198701698552076,0.05409526936891935,0.017950853839970846,0.0,0.1601638827607942,0.07150678931230839
Specialty Chemicals,0.026230245578909732,0.044837703713177114,0.02708394033854563,0.032714286603407264,0.03091334363041882,0.02405774241699744,0.03126739873284701,0.0336254695045609,0.0849669082886858,0.08546868155935175
Steel,0.19989592355674704,0.13546913893725365,0.34306324428824464,0.17131955352836967,0.15364393177506666,0.16809655315405886,0.14521742935141177,0.12665763855175408,0.13810274188465177,0.09187472623740695
