Name,P/E_y,Fwd P/E_y,PEG_y,P/S,P/B,P/C,P/FCF,EPS past 5Y,EPS next 5Y,Sales past 5Y
Oil & Gas Drilling,0.006052428370886223,0.06808230008287057,0.0,0.07082294816242043,0.2298952405944308,0.1485210800871505,0.03745248006245396,0.0,0.0,0.0
Oil & Gas E&P,0.1806280028082057,0.17707997275189277,0.2790096043613184,0.04934385732627653,0.08060072180203152,0.04534774323936724,0.24303634388650447,0.239855668797873,0.1991790661877886,0.36938349007314525
Oil & Gas Equipment & Services,0.06896593703950907,0.08186146611906021,0.2186832034183306,0.07869216462491159,0.09588047948962043,0.10795282210038255,0.04816887176465331,0.2281445844147623,0.4088250384812725,0.08725182863113896
Oil & Gas Integrated,0.24603158098177227,0.17454220244175417,0.24519025837812827,0.20066501979352455,0.2023078117230991,0.1895756875909157,0.22160679074298487,0.31227448249667655,0.12796305797845048,0.1313131313131313
Oil & Gas Midstream,0.11217949648088564,0.10253742107897254,0.07322424005862654,0.09950331560009482,0.09498019329722963,0.018960651791903264,0.0941926570882881,0.21972526429068812,0.0836326321190354,0.249390456287008
Oil & Gas Refining & Marketing,0.13063483299870876,0.10001140796845039,0.1838926937835962,0.37624691211285854,0.10818599557384977,0.17020298958892435,0.1452270199022688,0.0,0.18040020523345304,0.16266109369557644
Thermal Coal,0.22674579075923695,0.2597452680886768,0.0,0.11148056655195807,0.10818599557384977,0.18418490974472854,0.14825048318961653,0.0,0.0,0.0
Uranium,0.028761930560795256,0.03613996146832234,0.0,0.013245215827955415,0.07996356194588898,0.1352541158566278,0.06206535336322993,0.0,0.0,0.0
