Name,P/E_y,Fwd P/E_y,PEG_y,P/S,P/B,P/C,P/FCF,EPS past 5Y,EPS next 5Y,Sales past 5Y
Advertising Agencies,0.17332737320716318,0.18788704869415473,0.07531904164404424,0.2869498940613116,0.1354057039817283,0.3367859664395423,0.17965409569150462,0.05279957441149089,0.06682814048221952,0.020971190064135194
Broadcasting,0.15905335423716152,0.16473329117830937,0.12699780014433737,0.1592109089630503,0.18588238653112996,0.10724297653959877,0.14852591079446173,0.0944274504588376,0.12330727733127819,0.1317316502086939
Electronic Gaming & Multimedia,0.05520681306326159,0.09283830641358232,0.045309110988995364,0.05046562554043517,0.07059353555901339,0.19111919071121994,0.11174016380067511,0.010506716318659397,0.12627986348122866,0.35986969357630055
Entertainment,0.1943703130853491,0.17361883420850918,0.3479739723954844,0.13126431324081275,0.166212292718312,0.0982761724811039,0.18309994582682554,0.12182471073281022,0.27645051194539244,0.12827038582917644
Internet Content & Information,0.12882563895333884,0.18324264973767,0.1359273329669861,0.05364715410711478,0.06741228181064585,0.07920370774083575,0.11722893545262009,0.41920468147360024,0.16195089728063414,0.26417591367199433
Publishing,0.08759957954746475,0.011791619463982909,0.03954249686312322,0.08117661476734472,0.06346287540153729,0.04385757548037323,0.11875354134202369,0.14350312541561377,0.06958053506550699,0.007431538226611015
Telecom Services,0.20161692790626107,0.18588825030379136,0.22893024499702921,0.2372854893199307,0.31103092399763327,0.14351441060732634,0.14099740709188915,0.1577337411889879,0.17560277441373992,0.08754962842308868
