Sector,Score
Utilities - Independent Power Producers,3.292666355424112
Utilities - Regulated Electric,1.6354698096284435
Utilities - Regulated Gas,1.4999602610380407
Utilities - Regulated Water,1.2687483624120643
Utilities - Renewable,1.2401884942460952
Utilities - Diversified,1.062966717251244
